ts,container,cpu_pct,mem_mb
1777196134,cosmos-testnet-node4,36.24,326.1
1777196134,cosmos-testnet-node6,36.47,330.5
1777196134,cosmos-testnet-node2,38.38,320.1
1777196134,cosmos-testnet-node0,43.85,326.6
1777196134,cosmos-testnet-node1,37.7,325.7
1777196134,cosmos-testnet-node5,38.23,342.7
1777196134,cosmos-testnet-node3,40.76,318.1
1777196139,cosmos-testnet-node4,23.46,311.0
1777196139,cosmos-testnet-node6,25.45,330.7
1777196139,cosmos-testnet-node2,24.18,325.4
1777196139,cosmos-testnet-node0,24.53,327.9
1777196139,cosmos-testnet-node1,22.6,325.0
1777196139,cosmos-testnet-node5,24.42,345.4
1777196139,cosmos-testnet-node3,19.66,304.3
1777196144,cosmos-testnet-node4,10.78,315.5
1777196144,cosmos-testnet-node6,10.71,330.9
1777196144,cosmos-testnet-node2,10.53,315.8
1777196144,cosmos-testnet-node0,16.02,329.0
1777196144,cosmos-testnet-node1,10.32,321.1
1777196144,cosmos-testnet-node5,10.69,324.0
1777196144,cosmos-testnet-node3,10.23,306.7
1777196149,cosmos-testnet-node4,15.12,315.1
1777196149,cosmos-testnet-node6,11.05,330.9
1777196149,cosmos-testnet-node2,10.86,320.8
1777196149,cosmos-testnet-node0,15.55,329.5
1777196149,cosmos-testnet-node1,10.24,315.7
1777196149,cosmos-testnet-node5,10.33,326.2
1777196149,cosmos-testnet-node3,10.78,312.8
1777196154,cosmos-testnet-node4,10.93,315.5
1777196154,cosmos-testnet-node6,10.7,323.1
1777196154,cosmos-testnet-node2,10.78,320.0
1777196154,cosmos-testnet-node0,20.59,325.6
1777196154,cosmos-testnet-node1,10.5,319.5
1777196154,cosmos-testnet-node5,11.12,323.8
1777196154,cosmos-testnet-node3,10.96,317.7
1777196159,cosmos-testnet-node4,10.29,318.7
1777196159,cosmos-testnet-node6,10.42,337.1
1777196159,cosmos-testnet-node2,10.48,322.4
1777196159,cosmos-testnet-node0,15.91,327.4
1777196159,cosmos-testnet-node1,10.67,319.6
1777196159,cosmos-testnet-node5,10.54,326.7
1777196159,cosmos-testnet-node3,10.66,317.8
1777196164,cosmos-testnet-node4,10.81,321.6
1777196164,cosmos-testnet-node6,11.19,344.6
1777196164,cosmos-testnet-node2,10.6,321.3
1777196164,cosmos-testnet-node0,16.43,329.0
1777196164,cosmos-testnet-node1,11.35,326.9
1777196164,cosmos-testnet-node5,10.94,330.6
1777196164,cosmos-testnet-node3,10.75,326.1
1777196169,cosmos-testnet-node4,9.9,321.6
1777196169,cosmos-testnet-node6,10.03,348.7
1777196169,cosmos-testnet-node2,9.95,322.2
1777196169,cosmos-testnet-node0,15.52,322.7
1777196169,cosmos-testnet-node1,9.91,316.6
1777196169,cosmos-testnet-node5,9.98,339.6
1777196169,cosmos-testnet-node3,10.09,324.1
1777196174,cosmos-testnet-node4,10.4,324.3
1777196174,cosmos-testnet-node6,10.1,324.0
1777196174,cosmos-testnet-node2,10.28,324.8
1777196174,cosmos-testnet-node0,15.68,329.0
1777196174,cosmos-testnet-node1,10.54,318.6
1777196174,cosmos-testnet-node5,10.17,340.0
1777196174,cosmos-testnet-node3,10.34,325.8
1777196179,cosmos-testnet-node4,10.57,325.3
1777196179,cosmos-testnet-node6,11.05,342.0
1777196179,cosmos-testnet-node2,10.26,335.0
1777196179,cosmos-testnet-node0,15.73,336.9
1777196179,cosmos-testnet-node1,9.97,321.6
1777196179,cosmos-testnet-node5,10.46,346.3
1777196179,cosmos-testnet-node3,10.98,337.6
1777196184,cosmos-testnet-node4,11.02,325.7
1777196184,cosmos-testnet-node6,10.4,343.5
1777196184,cosmos-testnet-node2,10.69,326.9
1777196184,cosmos-testnet-node0,19.84,326.1
1777196184,cosmos-testnet-node1,10.52,326.8
1777196184,cosmos-testnet-node5,10.67,346.8
1777196184,cosmos-testnet-node3,10.35,341.9
1777196189,cosmos-testnet-node4,14.61,321.7
1777196189,cosmos-testnet-node6,10.62,346.2
1777196189,cosmos-testnet-node2,10.61,329.5
1777196189,cosmos-testnet-node0,62.02,337.7
1777196189,cosmos-testnet-node1,10.99,324.9
1777196189,cosmos-testnet-node5,10.25,348.0
1777196189,cosmos-testnet-node3,10.47,349.8
1777196194,cosmos-testnet-node4,10.95,327.5
1777196194,cosmos-testnet-node6,10.93,346.5
1777196194,cosmos-testnet-node2,10.32,329.6
1777196194,cosmos-testnet-node0,16.04,314.5
1777196194,cosmos-testnet-node1,10.89,322.9
1777196194,cosmos-testnet-node5,10.71,349.7
1777196194,cosmos-testnet-node3,11.22,326.1
1777196199,cosmos-testnet-node4,28.26,328.2
1777196199,cosmos-testnet-node6,30.08,336.5
1777196199,cosmos-testnet-node2,30.9,332.5
1777196199,cosmos-testnet-node0,38.18,316.8
1777196199,cosmos-testnet-node1,31.05,327.0
1777196199,cosmos-testnet-node5,29.75,336.6
1777196199,cosmos-testnet-node3,27.78,335.8
1777196204,cosmos-testnet-node4,7.05,317.7
1777196204,cosmos-testnet-node6,6.95,336.7
1777196204,cosmos-testnet-node2,6.55,334.8
1777196204,cosmos-testnet-node0,7.03,320.8
1777196204,cosmos-testnet-node1,5.96,329.5
1777196204,cosmos-testnet-node5,7.0,338.5
1777196204,cosmos-testnet-node3,6.52,342.4
1777196209,cosmos-testnet-node4,7.74,317.7
1777196209,cosmos-testnet-node6,7.93,336.7
1777196209,cosmos-testnet-node2,8.05,334.7
1777196209,cosmos-testnet-node0,8.52,320.8
1777196209,cosmos-testnet-node1,8.09,329.5
1777196209,cosmos-testnet-node5,8.4,338.8
1777196209,cosmos-testnet-node3,7.92,342.4
1777196214,cosmos-testnet-node4,9.18,317.8
1777196214,cosmos-testnet-node6,8.17,336.8
1777196214,cosmos-testnet-node2,8.6,334.8
1777196214,cosmos-testnet-node0,6.34,320.8
1777196214,cosmos-testnet-node1,8.78,329.6
1777196214,cosmos-testnet-node5,8.47,338.5
1777196214,cosmos-testnet-node3,8.39,342.4
1777196219,cosmos-testnet-node4,8.49,317.8
1777196219,cosmos-testnet-node6,8.17,336.9
1777196219,cosmos-testnet-node2,8.4,334.7
1777196219,cosmos-testnet-node0,6.48,320.8
1777196219,cosmos-testnet-node1,8.7,329.6
1777196219,cosmos-testnet-node5,8.3,338.6
1777196219,cosmos-testnet-node3,8.2,342.4
1777196224,cosmos-testnet-node4,8.46,317.8
1777196224,cosmos-testnet-node6,8.25,336.9
1777196224,cosmos-testnet-node2,8.41,334.7
1777196224,cosmos-testnet-node0,8.2,320.8
1777196224,cosmos-testnet-node1,8.84,329.6
1777196224,cosmos-testnet-node5,8.86,339.9
1777196224,cosmos-testnet-node3,8.3,342.4
1777196229,cosmos-testnet-node4,7.35,317.8
1777196229,cosmos-testnet-node6,7.76,336.9
1777196229,cosmos-testnet-node2,7.64,334.7
1777196229,cosmos-testnet-node0,7.69,320.8
1777196229,cosmos-testnet-node1,7.1,329.6
1777196229,cosmos-testnet-node5,7.15,339.9
1777196229,cosmos-testnet-node3,7.41,342.4
