ts,container,cpu_pct,mem_mb
1777195742,cosmos-testnet-node4,50.63,191.9
1777195747,cosmos-testnet-node1,33.3,186.1
1777195747,cosmos-testnet-node5,31.66,181.8
1777195747,cosmos-testnet-node3,31.09,190.5
1777195747,cosmos-testnet-node6,33.21,179.0
1777195747,cosmos-testnet-node0,31.74,191.9
1777195747,cosmos-testnet-node2,30.75,170.2
1777195747,cosmos-testnet-node4,33.48,193.1
1777195752,cosmos-testnet-node1,33.18,187.0
1777195752,cosmos-testnet-node5,10.83,181.8
1777195752,cosmos-testnet-node3,33.35,192.6
1777195752,cosmos-testnet-node6,32.79,183.0
1777195752,cosmos-testnet-node0,37.06,194.7
1777195752,cosmos-testnet-node2,33.66,173.3
1777195752,cosmos-testnet-node4,32.26,194.8
1777195757,cosmos-testnet-node1,18.58,186.7
1777195757,cosmos-testnet-node5,21.0,182.1
1777195757,cosmos-testnet-node3,16.66,192.4
1777195757,cosmos-testnet-node6,22.61,182.9
1777195757,cosmos-testnet-node0,18.71,194.9
1777195757,cosmos-testnet-node2,20.58,180.3
1777195757,cosmos-testnet-node4,20.5,195.1
1777195762,cosmos-testnet-node1,11.5,186.9
1777195762,cosmos-testnet-node5,14.7,184.4
1777195762,cosmos-testnet-node3,11.96,192.5
1777195762,cosmos-testnet-node6,11.78,182.9
1777195762,cosmos-testnet-node0,15.25,197.0
1777195762,cosmos-testnet-node2,11.71,178.4
1777195762,cosmos-testnet-node4,11.69,195.0
1777195767,cosmos-testnet-node1,11.36,187.2
1777195767,cosmos-testnet-node5,11.43,184.5
1777195767,cosmos-testnet-node3,11.18,192.8
1777195767,cosmos-testnet-node6,11.51,182.5
1777195767,cosmos-testnet-node0,14.57,194.5
1777195767,cosmos-testnet-node2,11.14,178.8
1777195767,cosmos-testnet-node4,14.81,196.0
1777195772,cosmos-testnet-node1,11.37,189.8
1777195772,cosmos-testnet-node5,11.16,188.3
1777195772,cosmos-testnet-node3,11.18,196.0
1777195772,cosmos-testnet-node6,11.25,181.3
1777195772,cosmos-testnet-node0,14.85,197.5
1777195772,cosmos-testnet-node2,11.63,183.6
1777195772,cosmos-testnet-node4,11.42,197.7
1777195777,cosmos-testnet-node1,10.89,190.0
1777195777,cosmos-testnet-node5,10.79,188.5
1777195777,cosmos-testnet-node3,10.88,196.0
1777195777,cosmos-testnet-node6,10.58,181.5
1777195777,cosmos-testnet-node0,13.78,195.7
1777195777,cosmos-testnet-node2,10.66,183.6
1777195777,cosmos-testnet-node4,10.81,197.7
1777195782,cosmos-testnet-node1,11.09,193.2
1777195782,cosmos-testnet-node5,10.95,188.5
1777195782,cosmos-testnet-node3,14.84,196.2
1777195782,cosmos-testnet-node6,11.37,185.0
1777195782,cosmos-testnet-node0,14.33,190.5
1777195782,cosmos-testnet-node2,11.12,186.4
1777195782,cosmos-testnet-node4,11.41,198.2
1777195787,cosmos-testnet-node1,11.65,194.6
1777195787,cosmos-testnet-node5,11.5,188.5
1777195787,cosmos-testnet-node3,11.37,196.3
1777195787,cosmos-testnet-node6,11.37,189.0
1777195787,cosmos-testnet-node0,14.92,192.6
1777195787,cosmos-testnet-node2,11.5,188.5
1777195787,cosmos-testnet-node4,11.73,198.3
1777195792,cosmos-testnet-node1,11.18,196.8
1777195792,cosmos-testnet-node5,11.44,188.8
1777195792,cosmos-testnet-node3,11.34,196.4
1777195792,cosmos-testnet-node6,11.38,192.3
1777195792,cosmos-testnet-node0,14.6,193.6
1777195792,cosmos-testnet-node2,11.47,188.6
1777195792,cosmos-testnet-node4,11.15,198.3
1777195797,cosmos-testnet-node1,11.65,190.9
1777195797,cosmos-testnet-node5,11.95,188.8
1777195797,cosmos-testnet-node3,11.55,198.4
1777195797,cosmos-testnet-node6,14.95,189.7
1777195797,cosmos-testnet-node0,15.14,199.3
1777195797,cosmos-testnet-node2,11.58,188.4
1777195797,cosmos-testnet-node4,11.73,198.3
1777195802,cosmos-testnet-node1,11.67,191.0
1777195802,cosmos-testnet-node5,11.62,189.0
1777195802,cosmos-testnet-node3,11.69,200.5
1777195802,cosmos-testnet-node6,11.29,188.5
1777195802,cosmos-testnet-node0,14.4,200.1
1777195802,cosmos-testnet-node2,11.68,188.4
1777195802,cosmos-testnet-node4,15.25,198.4
1777195807,cosmos-testnet-node1,11.2,191.0
1777195807,cosmos-testnet-node5,11.75,189.4
1777195807,cosmos-testnet-node3,11.17,199.4
1777195807,cosmos-testnet-node6,11.33,190.6
1777195807,cosmos-testnet-node0,14.84,200.3
1777195807,cosmos-testnet-node2,11.46,191.3
1777195807,cosmos-testnet-node4,11.24,198.4
1777195812,cosmos-testnet-node1,11.17,191.3
1777195812,cosmos-testnet-node5,11.29,191.1
1777195812,cosmos-testnet-node3,14.52,200.5
1777195812,cosmos-testnet-node6,11.08,190.9
1777195812,cosmos-testnet-node0,14.2,200.8
1777195812,cosmos-testnet-node2,10.98,191.6
1777195812,cosmos-testnet-node4,11.55,199.3
1777195817,cosmos-testnet-node1,11.32,191.9
1777195817,cosmos-testnet-node5,11.51,195.8
1777195817,cosmos-testnet-node3,11.38,200.6
1777195817,cosmos-testnet-node6,41.72,191.1
1777195817,cosmos-testnet-node0,17.96,203.9
1777195817,cosmos-testnet-node2,11.06,191.7
1777195817,cosmos-testnet-node4,11.65,199.4
1777195822,cosmos-testnet-node1,6.62,194.4
1777195822,cosmos-testnet-node5,7.35,194.1
1777195822,cosmos-testnet-node3,6.68,201.7
1777195822,cosmos-testnet-node6,7.62,191.3
1777195822,cosmos-testnet-node0,6.05,205.0
1777195822,cosmos-testnet-node2,7.07,192.5
1777195822,cosmos-testnet-node4,6.91,199.6
1777195827,cosmos-testnet-node1,7.06,194.6
1777195827,cosmos-testnet-node5,6.34,193.7
1777195827,cosmos-testnet-node3,7.05,204.0
1777195827,cosmos-testnet-node6,10.11,191.6
1777195827,cosmos-testnet-node0,6.49,205.3
1777195827,cosmos-testnet-node2,6.19,194.6
1777195827,cosmos-testnet-node4,6.49,199.8
1777195832,cosmos-testnet-node1,6.5,194.6
1777195832,cosmos-testnet-node5,6.6,194.1
1777195832,cosmos-testnet-node3,7.57,204.1
1777195832,cosmos-testnet-node6,7.56,191.6
1777195832,cosmos-testnet-node0,7.2,205.7
1777195832,cosmos-testnet-node2,6.52,194.6
1777195832,cosmos-testnet-node4,8.5,200.3
1777195837,cosmos-testnet-node1,6.94,194.6
1777195837,cosmos-testnet-node5,7.49,194.1
1777195837,cosmos-testnet-node3,6.74,204.1
1777195837,cosmos-testnet-node6,7.18,191.7
1777195837,cosmos-testnet-node0,7.89,205.7
1777195837,cosmos-testnet-node2,7.29,194.6
1777195837,cosmos-testnet-node4,6.72,200.3
1777195842,cosmos-testnet-node1,7.95,195.0
1777195842,cosmos-testnet-node5,7.64,194.6
1777195842,cosmos-testnet-node3,8.32,204.5
1777195842,cosmos-testnet-node6,7.43,191.7
1777195842,cosmos-testnet-node0,7.67,205.8
1777195842,cosmos-testnet-node2,7.38,194.6
1777195842,cosmos-testnet-node4,7.94,200.4
1777195847,cosmos-testnet-node1,9.29,195.3
1777195847,cosmos-testnet-node5,8.34,194.6
1777195847,cosmos-testnet-node3,8.71,204.5
1777195847,cosmos-testnet-node6,11.88,191.8
1777195847,cosmos-testnet-node0,9.19,205.8
1777195847,cosmos-testnet-node2,8.87,194.7
1777195847,cosmos-testnet-node4,8.52,200.5
1777195852,cosmos-testnet-node1,8.34,196.9
1777195852,cosmos-testnet-node5,8.57,194.7
1777195852,cosmos-testnet-node3,6.39,204.5
1777195852,cosmos-testnet-node6,9.11,191.8
1777195852,cosmos-testnet-node0,8.55,205.9
1777195852,cosmos-testnet-node2,8.72,194.8
1777195852,cosmos-testnet-node4,9.09,200.5
