burst_n,repeat,seq,status,window_id,submit_ts,commit_ts,credit_ts,ack_ts,commit_latency_s,forward_latency_s,roundtrip_latency_s
20,2,12,acked,0,1787691024.308395,1787691061.7240095,1787691223.957206,1787691764.427587,37.41561460494995,199.64881110191345,740.1191921234131
20,2,13,acked,0,1787691029.0820084,1787691061.858692,1787691236.7494428,1787691769.574371,32.77668356895447,207.66743445396423,740.4923627376556
20,2,14,acked,0,1787691031.501043,1787691061.983638,1787691247.2013655,1787691774.7295587,30.482594966888428,215.70032238960266,743.228515625
20,2,15,acked,0,1787691036.3087184,1787691062.115267,1787691259.9142454,1787691779.8322613,25.806548595428467,223.6055269241333,743.523542881012
20,2,16,acked,0,1787691041.1060624,1787691062.245095,1787691270.2001452,1787691784.9421928,21.13903260231018,229.09408283233643,743.8361303806305
20,2,17,acked,0,1787691045.9025302,1787691062.3777714,1787691282.9130914,1787691790.0630856,16.47524118423462,237.01056122779846,744.1605553627014
20,2,18,acked,0,1787691050.7040832,1787691062.4896302,1787691295.6438968,1787691795.1592083,11.785547018051147,244.9398136138916,744.4551250934601
20,2,19,acked,0,1787691055.4937708,1787691062.6160626,1787691309.9182274,1787691800.284885,7.122291803359985,254.4244565963745,744.7911140918732
20,3,0,acked,0,1787691800.4853153,1787691901.61235,1787691912.4002612,1787692494.7921257,101.12703466415405,111.91494584083557,694.3068103790283
20,3,1,acked,0,1787691805.2069921,1787691901.7151134,1787691925.0670547,1787692499.88797,96.50812125205994,119.86006259918213,694.6809778213501
20,3,2,acked,0,1787691809.9863727,1787691901.820673,1787691937.706287,1787692505.022439,91.83430027961731,127.71991419792175,695.0360662937164
20,3,3,acked,0,1787691814.7378664,1787691901.927343,1787691950.371827,1787692510.1107142,87.18947649002075,135.63396048545837,695.3728477954865
20,3,4,acked,0,1787691821.5957384,1787691902.0412588,1787691963.024783,1787692515.1929727,80.44552040100098,141.42904448509216,693.597234249115
20,3,5,acked,0,1787691826.329685,1787691902.149253,1787691975.6424654,1787692520.307991,75.81956791877747,149.31278038024902,693.978306055069
20,3,6,acked,0,1787691831.051325,1787691902.2631419,1787691984.279814,1787692525.4451632,71.21181678771973,153.22848892211914,694.3938381671906
20,3,7,acked,0,1787691835.7848988,1787691902.3776734,1787691996.930406,1787692530.5410511,66.5927746295929,161.14550733566284,694.7561523914337
20,3,8,acked,0,1787691840.5445511,1787691902.4848654,1787692009.5856378,1787692535.6255503,61.940314292907715,169.04108667373657,695.0809991359711
20,3,9,acked,0,1787691845.277153,1787691902.595796,1787692022.2361217,1787692540.7355537,57.31864309310913,176.95896863937378,695.4584007263184
20,3,10,acked,0,1787691850.0075424,1787691902.7025807,1787692034.8974626,1787692545.7976239,52.69503831863403,184.88992023468018,695.7900815010071
20,3,11,acked,0,1787691856.8897007,1787691902.8171742,1787692047.530423,1787692550.9055083,45.92747354507446,190.64072227478027,694.0158076286316
20,3,12,acked,0,1787691861.6187625,1787691902.9392567,1787692056.1682553,1787692556.0173552,41.320494174957275,194.54949283599854,694.398592710495
20,3,13,acked,0,1787691866.3947008,1787691903.0578923,1787692068.8122065,1787692561.1361976,36.66319155693054,202.41750574111938,694.7414968013763
20,3,14,acked,0,1787691871.1262913,1787691903.1761544,1787692081.4597867,1787692566.2379425,32.04986310005188,210.33349537849426,695.1116511821747
20,3,15,acked,0,1787691875.8476074,1787691903.2860293,1787692098.1236506,1787692686.2636817,27.438421964645386,222.276043176651,810.4160742759705
20,3,16,acked,0,1787691880.558385,1787691903.4063382,1787692110.7680905,1787692691.3478682,22.84795331954956,230.20970559120178,810.7894833087921
20,3,17,acked,0,1787691885.2463095,1787691903.5225625,1787692123.4037952,1787692696.435102,18.27625298500061,238.15748572349548,811.1887924671173
20,3,18,acked,0,1787691892.0803869,1787691903.641172,1787692136.0506964,1787692701.5239575,11.560785055160522,243.9703094959259,809.4435706138611
20,3,19,acked,0,1787691896.7986414,1787691903.7556987,1787692148.715442,1787692706.6651704,6.957057237625122,251.9168004989624,809.8665289878845
20,4,0,acked,0,1787692706.8433883,1787692807.4446576,1787692818.173525,1787693268.9943426,100.6012692451477,111.33013677597046,562.150954246521
20,4,1,acked,0,1787692711.5549228,1787692807.5575516,1787692830.825778,1787693274.0962076,96.00262880325317,119.27085518836975,562.5412847995758
20,4,2,acked,0,1787692716.2778087,1787692807.6676898,1787692843.4644878,1787693279.1625104,91.3898811340332,127.18667912483215,562.8847017288208
20,4,3,acked,0,1787692720.9679275,1787692807.780296,1787692860.128108,1787693454.9521165,86.81236863136292,139.16018056869507,733.9841890335083
20,4,4,acked,0,1787692725.669272,1787692807.8897116,1787692872.7792559,1787693460.0237875,82.22043967247009,147.10998392105103,734.3545155525208
20,4,5,acked,0,1787692730.4045324,1787692807.999878,1787692885.4194582,1787693465.1233406,77.59534549713135,155.0149257183075,734.7188081741333
20,4,6,acked,0,1787692737.1957538,1787692808.114762,1787692898.0677288,1787693470.2111883,70.91900825500488,160.87197494506836,733.0154345035553
20,4,7,acked,0,1787692741.900114,1787692808.2323961,1787692910.728714,1787693475.28894,66.33228206634521,168.82859992980957,733.3888258934021
20,4,8,acked,0,1787692746.6172817,1787692808.3473506,1787692923.3797483,1787693480.3860562,61.73006892204285,176.76246666908264,733.7687745094299
20,4,9,acked,0,1787692751.3285778,1787692808.457591,1787692936.0358627,1787693485.4725776,57.12901329994202,184.70728492736816,734.1439998149872
20,4,10,acked,0,1787692756.0263817,1787692808.5699058,1787692944.6776266,1787693490.5447886,52.54352402687073,188.65124487876892,734.518406867981
20,4,11,acked,0,1787692760.7299857,1787692808.6766367,1787692957.340444,1787693495.5986593,47.946650981903076,196.61045837402344,734.8686735630035
20,4,12,acked,0,1787692767.5581822,1787692808.7852345,1787692969.9897187,1787693500.690737,41.227052211761475,202.43153643608093,733.132554769516
20,4,13,acked,0,1787692772.2822626,1787692808.893273,1787692982.6622756,1787693505.7818768,36.61101055145264,210.3800129890442,733.499614238739
20,4,14,acked,0,1787692776.987116,1787692809.003798,1787692995.3148937,1787693510.8575637,32.01668190956116,218.32777762413025,733.8704476356506
20,4,15,acked,0,1787692781.6773822,1787692809.1161625,1787693007.9813223,1787693515.911266,27.438780307769775,226.30394005775452,734.233883857727
20,4,16,acked,0,1787692786.3904228,1787692809.2282252,1787693024.6441503,1787693521.0112178,22.837802410125732,238.25372743606567,734.6207950115204
20,4,17,acked,0,1787692791.093448,1787692809.3366807,1787693037.2981126,1787693526.097389,18.24323272705078,246.20466470718384,735.0039410591125
20,4,18,acked,0,1787692795.7933574,1787692809.4489565,1787693049.9392347,1787693531.1583807,13.655599117279053,254.1458773612976,735.3650233745575
20,4,19,acked,0,1787692802.6454616,1787692809.5572417,1787693058.5639622,1787693647.4956663,6.911780118942261,255.91850066184998,844.850204706192
40,0,0,acked,0,1787693647.6727023,1787693848.1880717,1787693865.0684497,1787694415.9343803,200.5153694152832,217.395747423172,768.261677980423
40,0,1,acked,0,1787693652.3578649,1787693848.29517,1787693877.7042062,1787694421.0154347,195.93730521202087,225.34634137153625,768.6575698852539
40,0,2,acked,0,1787693657.0498705,1787693848.4007864,1787693894.3634121,1787694426.1045113,191.35091590881348,237.3135416507721,769.0546407699585
40,0,3,acked,0,1787693661.7503998,1787693848.510035,1787693906.9955728,1787694431.162241,186.75963521003723,245.2451729774475,769.4118411540985
40,0,4,acked,0,1787693666.4456465,1787693848.619984,1787693919.631433,1787694436.2295463,182.17433738708496,253.185786485672,769.7838997840881
40,0,5,acked,0,1787693671.127251,1787693848.7269745,1787693928.2478507,1787694441.296107,177.5997235774994,257.1205997467041,770.1688561439514
40,0,6,acked,0,1787693677.9211564,1787693848.8412175,1787693940.8882082,1787694446.4234238,170.9200611114502,262.96705174446106,768.5022673606873
40,0,7,acked,0,1787693682.6364582,1787693848.9479327,1787693953.5192223,1787694451.5030925,166.31147456169128,270.88276410102844,768.8666343688965
40,0,8,acked,0,1787693687.328032,1787693849.0584395,1787693966.1469896,1787694456.605907,161.73040747642517,278.81895756721497,769.2778749465942
40,0,9,acked,0,1787693692.0443044,1787693849.1674838,1787693978.7822711,1787694461.6658244,157.12317943572998,286.73796677589417,769.6215200424194
40,0,10,acked,0,1787693696.746864,1787693849.2814188,1787693991.4290757,1787694466.7763546,152.53455471992493,294.68221163749695,770.0294904708862
40,0,11,acked,0,1787693701.434952,1787693849.3904612,1787694004.0688908,1787694471.850361,147.95550918579102,302.6339387893677,770.4154090881348
40,0,12,acked,0,1787693706.1374102,1787693849.4951394,1787694020.7056155,1787694601.7403126,143.35772919654846,314.5682053565979,895.6029024124146
40,0,13,acked,0,1787693712.9460166,1787693849.6035771,1787694033.3459728,1787694606.866101,136.65756058692932,320.3999562263489,893.920084476471
40,0,14,acked,0,1787693717.623451,1787693849.711022,1787694045.9902074,1787694611.9369948,132.08757090568542,328.366756439209,894.3135437965393
